sample,amplicon,frac,cooc,count,mut_all,mut_oneless,al,AY42,be,C36,d614g,de,ga,ka,B16173,mu,om1,om2121,om275,om2,om4,om5
sample_1.sorted.bam,48,0.48952095808383234,1,668,327,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,77,0.004901960784313725,2,204,1,914,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,78,0.2867383512544803,2,279,80,453,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,79,0.0018018018018018018,2,555,1,438,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,93,0.0,2,296,0,1,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,94,0.0,4,85,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,95,0.0,2,227,0,22,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,341,0,203,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,73,0.01694915254237288,2,59,1,29,,1.0,,,,,,,,,,,,,,
sample_1.sorted.bam,1,0.0,2,64,0,66,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,74,0.0,2,342,0,0,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,624,0,455,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,72,0.0,2,365,0,720,,,,1.0,,,,,,,,,,,,
sample_1.sorted.bam,78,0.99812734082397,1,534,533,0,,,,,1.0,,,,,,,,,,,
sample_1.sorted.bam,76,0.3706293706293706,2,1430,530,1032,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,92,0.30857142857142855,2,525,162,98,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,30,0.17231638418079095,2,354,61,68,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,37,0.07051282051282051,2,312,22,37,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,73,0.12636165577342048,2,918,116,56,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,93,0.07849829351535836,2,293,23,45,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,94,0.36553945249597425,2,621,227,35,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,95,0.09243697478991597,3,119,11,10,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,97,0.24633431085043989,2,341,84,90,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,920,0,915,,,1.0,,,,1.0,,,,,,,,,
sample_1.sorted.bam,71,0.0,3,317,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,72,0.0,3,462,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,73,0.0,2,823,0,2,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,617,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,78,0.8039772727272727,2,352,283,250,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,96,0.09195402298850575,2,87,8,52,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,97,0.14029850746268657,2,335,47,156,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,1,0.24242424242424243,2,66,16,50,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,76,0.0008032128514056225,2,1245,1,665,,,,,,,,1.0,1.0,,,,,,,
sample_1.sorted.bam,78,0.2358490566037736,2,106,25,508,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,73,0.0,2,234,0,0,,,,,,,,1.0,,,,,,,,
sample_1.sorted.bam,93,0.0,2,526,0,0,,,,,,,,,,1.0,,,,,,
sample_1.sorted.bam,72,0.8232044198895028,3,543,447,308,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,73,0.7947882736156352,3,307,244,525,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,75,0.6058394160583942,4,548,332,62,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,76,0.5338842975206611,6,605,323,514,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,77,0.7633136094674556,9,169,129,390,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,80,0.574585635359116,2,181,104,152,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,81,0.49517684887459806,3,311,154,85,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,82,0.8458646616541353,2,266,225,141,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,88,0.6344410876132931,2,993,630,471,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,72,0.0,3,485,0,0,,,,,,,,,,,,1.0,,,,
sample_1.sorted.bam,76,0.0,8,180,0,0,,,,,,,,,,,,1.0,,,,
sample_1.sorted.bam,79,0.002044989775051125,3,489,1,389,,,,,,,,,,,,1.0,,,,
sample_1.sorted.bam,85,0.0,2,668,0,1008,,,,,,,,,,,,1.0,1.0,,,
sample_1.sorted.bam,13,0.0,2,632,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,73,0.0,6,303,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,74,0.0,3,280,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,75,0.0,6,151,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,76,0.0,9,156,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,77,0.6798365122615804,6,734,499,139,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,87,0.0,3,137,0,1,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,33,0.0,2,212,0,315,,,,,,,,,,,,1.0,1.0,1.0,,
sample_1.sorted.bam,72,0.0,2,485,0,0,,,,,,,,,,,,,1.0,1.0,,
sample_1.sorted.bam,77,0.6771117166212534,7,734,497,140,,,,,,,,,,,,1.0,,1.0,,
sample_1.sorted.bam,91,0.0,2,573,0,436,,,,,,,,,,,,,1.0,1.0,,
sample_1.sorted.bam,76,0.0,7,212,0,0,,,,,,,,,,,,,,1.0,,
sample_1.sorted.bam,89,0.001977587343441002,2,1517,3,1440,,,,,,,,,,,,1.0,1.0,1.0,1.0,
sample_1.sorted.bam,91,0.0,4,573,0,0,,,,,,,,,,,,1.0,,,1.0,
sample_1.sorted.bam,2,0.0,2,123,0,1,,,,,,,,,,,,,,,1.0,
sample_1.sorted.bam,3,0.0,2,132,0,0,,,,,,,,,,,,,,,1.0,
sample_1.sorted.bam,92,0.0,2,236,0,164,,,,,,,,,,,,,,,1.0,
sample_1.sorted.bam,93,0.0020964360587002098,2,477,1,514,,,,,,,,,,,,,,,1.0,
sample_1.sorted.bam,96,0.0,4,87,0,60,,,,,,,,,,,,,,,1.0,
sample_1.sorted.bam,14,0.0,2,340,0,0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,31,0.0,3,87,0,0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,34,0.0,2,288,0,198,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,35,0.0,2,300,0,250,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,66,0.0,2,414,0,1,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,71,0.0,2,298,0,0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,72,0.0,3,485,0,0,,,,,,,,,,,,,,,1.0,1.0
sample_1.sorted.bam,73,0.0,2,303,0,119,,,,,,,,,,,,1.0,,1.0,1.0,1.0
sample_1.sorted.bam,75,0.0,6,151,0,0,,,,,,,,,,,,1.0,,1.0,1.0,1.0
sample_1.sorted.bam,76,0.0,9,98,0,0,,,,,,,,,,,,,,,1.0,1.0
sample_1.sorted.bam,77,0.0013623978201634877,7,734,1,498,,,,,,,,,,,,,,,1.0,1.0
sample_1.sorted.bam,78,0.7547169811320755,4,106,80,4,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,79,0.7934560327198364,2,489,388,898,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0
sample_1.sorted.bam,81,0.4876543209876543,2,486,237,127,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,87,0.0,2,152,0,306,,,,,,,,,,,,1.0,,1.0,1.0,1.0
sample_1.sorted.bam,94,0.503448275862069,3,145,73,171,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,95,0.8634361233480177,3,227,196,88,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
sample_1.sorted.bam,96,0.6896551724137931,3,87,60,0,,,,,,,,,,,,1.0,,,,1.0
sample_1.sorted.bam,97,0.5953079178885631,3,341,203,1,,,,,,,,,,,,1.0,,,1.0,1.0
sample_1.sorted.bam,99,0.0,1,11,0,0,,,,,,,,,,,,1.0,1.0,,1.0,1.0
sample_1.sorted.bam,88,0.0010070493454179255,2,993,1,701,,,,,,,,,,,,,,,,1.0
sample_1.sorted.bam,93,0.0,2,577,0,515,,,,,,,,,,,,,,,,1.0
sample_2.sorted.bam,48,0.4946889226100152,1,659,326,0,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,77,0.0,2,188,0,908,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,78,0.3173431734317343,2,271,86,445,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,79,0.0017921146953405018,2,558,1,457,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,93,0.0,2,311,0,0,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,94,0.0,4,91,0,0,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,95,0.0,2,221,0,17,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,97,0.0,2,317,0,195,1.0,,,,,,,,,,,,,,,
sample_2.sorted.bam,73,0.022222222222222223,2,45,1,28,,1.0,,,,,,,,,,,,,,
sample_2.sorted.bam,1,0.0,2,63,0,66,,,1.0,,,,,,,,,,,,,
sample_2.sorted.bam,74,0.0,2,312,0,0,,,1.0,,,,,,,,,,,,,
sample_2.sorted.bam,76,0.0,2,589,0,445,,,1.0,,,,,,,,,,,,,
sample_2.sorted.bam,72,0.0,2,396,0,714,,,,1.0,,,,,,,,,,,,
sample_2.sorted.bam,78,0.9943820224719101,1,534,531,0,,,,,1.0,,,,,,,,,,,
sample_2.sorted.bam,76,0.37282229965156793,2,1435,535,1025,,1.0,,,,1.0,,,,,,,,,,
