sample,amplicon,frac,cooc,count,mut_all,mut_oneless,al,AY42,be,C36,d614g,de,ga,ka,B16173,mu,om1,om2121,om275,om2,om4,om5
sample_1.sorted.bam,48,0.625,1,40,25,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,6,0,20,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,78,0.1111111111111111,2,9,1,20,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,79,0.0,2,24,0,12,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,93,0.0,2,10,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,94,0.0,4,9,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,95,0.0,2,8,0,3,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,21,0,3,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,73,0.0,2,8,0,4,,1.0,,,,,,,,,,,,,,
sample_1.sorted.bam,1,0.0,2,3,0,3,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,74,0.0,2,12,0,0,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,47,0,11,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,72,0.0,2,9,0,8,,,,1.0,,,,,,,,,,,,
sample_1.sorted.bam,78,1.0,1,21,21,0,,,,,1.0,,,,,,,,,,,
sample_1.sorted.bam,76,0.7938144329896907,2,97,77,39,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,92,0.8666666666666667,2,30,26,15,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,30,0.5714285714285714,2,7,4,9,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,37,0.3333333333333333,2,9,3,2,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,73,0.5945945945945946,2,37,22,9,,,,,,1.0,,,,,,,,,,
