sample,amplicon,frac,cooc,count,mut_all,mut_oneless,al,AY42,be,C36,d614g,de,ga,ka,B16173,mu,om1,om2121,om275,om2,om4,om5
sample_1.sorted.bam,48,0.5925925925925926,1,54,32,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,77,0.6119402985074627,1,67,41,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,78,0.0,2,4,0,32,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,79,0.0,2,31,0,31,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,93,0.0,2,12,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,94,0.0,2,16,0,3,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,95,,,0,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,9,0,8,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,73,0.0,1,54,0,0,,1.0,,,,,,,,,,,,,,
sample_1.sorted.bam,1,0.0,2,5,0,8,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,74,0.0,2,9,0,0,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,76,0.39285714285714285,1,56,22,0,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,72,0.4482758620689655,1,29,13,0,,,,1.0,,,,,,,,,,,,
sample_1.sorted.bam,78,1.0,1,27,27,0,,,,,1.0,,,,,,,,,,,
sample_1.sorted.bam,76,0.10526315789473684,2,19,2,34,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,92,0.05,2,20,1,5,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,30,0.05,2,20,1,1,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,37,0.0,2,8,0,5,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,73,0.1111111111111111,2,45,5,2,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,93,0.0,2,3,0,1,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,94,0.2727272727272727,2,11,3,1,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,95,0.18518518518518517,1,27,5,0,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,9,0,0,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,43,0,41,,,1.0,,,,1.0,,,,,,,,,
sample_1.sorted.bam,71,0.0,3,7,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,72,0.0,3,11,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,73,0.0,2,1,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,76,0.0,1,56,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,78,1.0,2,3,3,36,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,96,0.0,2,3,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,9,0,8,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,1,0.5714285714285714,2,7,4,4,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,76,0.0,2,13,0,10,,,,,,,,1.0,1.0,,,,,,,
sample_1.sorted.bam,78,0.84375,1,32,27,0,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,73,0.0,2,16,0,0,,,,,,,,1.0,,,,,,,,
sample_1.sorted.bam,93,0.0,2,12,0,0,,,,,,,,,,1.0,,,,,,
sample_1.sorted.bam,72,0.8,3,10,8,5,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,73,0.7884615384615384,2,52,41,6,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,75,0.8666666666666667,4,15,13,29,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,76,0.8,5,5,4,9,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,77,0.7272727272727273,8,33,24,9,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,80,0.896551724137931,1,58,52,0,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,81,0.7619047619047619,3,21,16,11,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,82,0.7894736842105263,2,19,15,11,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,88,0.8709677419354839,2,31,27,12,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,72,0.0,3,8,0,0,,,,,,,,,,,,1.0,,,,
