sample,amplicon,frac,cooc,count,mut_all,mut_oneless,al,AY42,be,C36,d614g,de,ga,ka,B16173,mu,om1,om2121,om275,om2,om4,om5
sample_1.sorted.bam,48,0.5257595772787318,1,757,398,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,178,0,86,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,78,0.08196721311475409,2,244,20,488,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,79,0.0,2,442,0,101,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,93,0.0,2,130,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,94,0.0,4,156,0,0,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,95,0.0,2,189,0,106,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,433,0,19,1.0,,,,,,,,,,,,,,,
sample_1.sorted.bam,73,0.030927835051546393,2,97,3,85,,1.0,,,,,,,,,,,,,,
sample_1.sorted.bam,1,0.0,2,49,0,50,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,74,0.0,2,542,0,1,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,996,0,36,,,1.0,,,,,,,,,,,,,
sample_1.sorted.bam,72,0.0,2,207,0,95,,,,1.0,,,,,,,,,,,,
sample_1.sorted.bam,78,0.9980353634577603,1,509,508,0,,,,,1.0,,,,,,,,,,,
sample_1.sorted.bam,76,0.9575026232948584,2,1906,1825,573,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,92,0.9106382978723404,2,705,642,379,,1.0,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,30,0.7214484679665738,2,359,259,238,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,37,0.46120689655172414,2,232,107,92,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,73,0.7351247600767754,2,521,383,204,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,93,0.5375,2,160,86,191,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,94,0.8464687819856704,2,977,827,91,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,95,0.4392523364485981,3,107,47,56,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,97,0.6882217090069284,2,433,298,320,,,,,,1.0,,,,,,,,,,
sample_1.sorted.bam,77,0.0,2,806,0,85,,,1.0,,,,1.0,,,,,,,,,
sample_1.sorted.bam,71,0.0,3,340,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,72,0.0,3,266,0,0,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,73,0.0,2,441,0,2,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,76,0.0,2,990,0,1,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,78,0.21067415730337077,2,356,75,433,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,96,0.04964539007092199,2,141,7,4,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,97,0.0,2,392,0,17,,,,,,,1.0,,,,,,,,,
sample_1.sorted.bam,1,0.803921568627451,2,51,41,10,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,76,0.0012795905310300703,2,1563,2,2320,,,,,,,,1.0,1.0,,,,,,,
sample_1.sorted.bam,78,0.7857142857142857,2,98,77,431,,,,,,1.0,,1.0,,,,,,,,
sample_1.sorted.bam,73,0.0,2,124,0,0,,,,,,,,1.0,,,,,,,,
sample_1.sorted.bam,93,0.0,2,264,0,2,,,,,,,,,,1.0,,,,,,
sample_1.sorted.bam,72,0.20655737704918034,3,305,63,33,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,73,0.08602150537634409,3,186,16,40,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,75,0.043993231810490696,4,591,26,3,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,76,0.025236593059936908,6,951,24,37,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,77,0.08917197452229299,9,157,14,37,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,80,0.05319148936170213,2,282,15,27,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,81,0.05603448275862069,3,696,39,26,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,82,0.13716814159292035,2,226,31,15,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,88,0.036458333333333336,2,1152,42,42,,,,,,,,,,,1.0,,,,,
sample_1.sorted.bam,72,0.0,3,279,0,0,,,,,,,,,,,,1.0,,,,
sample_1.sorted.bam,76,0.0,8,345,0,0,,,,,,,,,,,,1.0,,,,
sample_1.sorted.bam,79,0.0,3,403,0,93,,,,,,,,,,,,1.0,,,,
sample_1.sorted.bam,85,0.0,2,496,0,70,,,,,,,,,,,,1.0,1.0,,,
sample_1.sorted.bam,13,0.0,2,565,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,73,0.0,6,175,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,74,0.0,3,454,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,75,0.0,6,146,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,76,0.0,9,270,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,77,0.078003120124805,6,641,50,6,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,87,0.0,3,112,0,0,,,,,,,,,,,,,1.0,,,
sample_1.sorted.bam,33,0.0,2,242,0,219,,,,,,,,,,,,1.0,1.0,1.0,,
sample_1.sorted.bam,72,0.0,2,279,0,0,,,,,,,,,,,,,1.0,1.0,,
sample_1.sorted.bam,77,0.07644305772230889,7,641,49,7,,,,,,,,,,,,1.0,,1.0,,
sample_1.sorted.bam,91,0.0,2,629,0,64,,,,,,,,,,,,,1.0,1.0,,
